,Location (Latitude),Location (Longitude)
0,29.7039566,-95.4051631
1,29.7039566,-95.4051631
2,29.7039566,-95.4051631
3,29.7039566,-95.4051631
4,29.7869086,-95.3675902
5,29.7039566,-95.4051631
6,29.7039566,-95.4051631
7,29.7039566,-95.4051631
8,29.7869086,-95.3675902
9,29.7039566,-95.4051631
10,29.7869086,-95.3675902
11,29.7869086,-95.3675902
12,29.7039566,-95.4051631
13,29.7039566,-95.4051631
14,29.7869086,-95.3675902
15,29.7869086,-95.3675902
16,31.9685988,-99.9018131
17,31.9685988,-99.9018131
18,29.7803247,-95.2570583
19,29.7803247,-95.2570583
20,29.6260697,-95.5560676
21,29.6260697,-95.5560676
22,29.6260697,-95.5560676
23,29.7803247,-95.2570583
24,29.7803247,-95.2570583
25,29.7803247,-95.2570583
26,29.7803247,-95.2570583
27,31.9685988,-99.9018131
28,31.9685988,-99.9018131
29,31.9685988,-99.9018131
30,29.8909634,-95.7280693
31,31.9685988,-99.9018131
32,29.3957069,-94.9995583
33,29.6892063,-95.5267081
34,29.6996633,-95.1359587
35,29.7604267,-95.3698028
36,29.8049246,-95.4516953
37,29.8005592,-95.5241436
38,29.8005444,-95.524885
39,29.80077649999999,-95.52494
40,29.80077649999999,-95.52494
41,31.9685988,-99.9018131
42,29.7604267,-95.3698028
43,29.7832577,-95.5586516
44,29.7160153,-95.3118331
45,29.67682379999999,-95.4945772
46,29.7433606,-95.4090496
47,29.7604267,-95.3698028
48,29.7604267,-95.3698028
49,29.7604267,-95.3698028
50,29.7604267,-95.3698028
51,30.0500255,-95.1844774
52,29.7604267,-95.3698028
53,29.7604267,-95.3698028
54,29.7604267,-95.3698028
55,29.9112423,-95.3314613
56,29.9112423,-95.3314613
57,30.0064878,-95.3799117
58,30.0500255,-95.1844774
59,29.9112423,-95.3314613
60,30.0500255,-95.1844774
61,30.0500255,-95.1844774
62,29.9112423,-95.3314613
63,30.0500255,-95.1844774
64,29.9112423,-95.3314613
65,31.9685988,-99.9018131
66,31.9685988,-99.9018131
67,31.9685988,-99.9018131
68,31.9685988,-99.9018131
69,29.7433606,-95.4090496
70,31.9685988,-99.9018131
71,29.7345052,-95.301021
72,29.7345052,-95.301021
73,29.7604267,-95.3698028
74,29.7604267,-95.3698028
75,29.7604267,-95.3698028
76,29.7604267,-95.3698028
77,31.9685988,-99.9018131
78,31.9685988,-99.9018131
79,31.9685988,-99.9018131
80,31.9685988,-99.9018131
81,31.9685988,-99.9018131
82,31.9685988,-99.9018131
83,31.9685988,-99.9018131
84,31.9685988,-99.9018131
85,31.9685988,-99.9018131
86,31.9685988,-99.9018131
87,31.9685988,-99.9018131
88,31.9685988,-99.9018131
89,31.9685988,-99.9018131
90,31.9685988,-99.9018131
91,31.9685988,-99.9018131
92,31.9685988,-99.9018131
93,31.9685988,-99.9018131
94,31.9685988,-99.9018131
95,31.9685988,-99.9018131
96,29.7604267,-95.3698028
