Location (Latitude),Location (Longitude)
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7869086,-95.3675902
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7869086,-95.3675902
29.7039566,-95.4051631
29.7869086,-95.3675902
29.7869086,-95.3675902
29.7039566,-95.4051631
29.7039566,-95.4051631
29.7869086,-95.3675902
29.7869086,-95.3675902
31.9685988,-99.9018131
31.9685988,-99.9018131
29.7803247,-95.2570583
29.7803247,-95.2570583
29.6260697,-95.5560676
29.6260697,-95.5560676
29.6260697,-95.5560676
29.7803247,-95.2570583
29.7803247,-95.2570583
29.7803247,-95.2570583
29.7803247,-95.2570583
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.8909634,-95.7280693
31.9685988,-99.9018131
29.3957069,-94.9995583
29.6892063,-95.5267081
29.6996633,-95.1359587
29.7604267,-95.3698028
29.8049246,-95.4516953
29.8005592,-95.5241436
29.8005444,-95.524885
29.80077649999999,-95.52494
29.80077649999999,-95.52494
31.9685988,-99.9018131
29.7604267,-95.3698028
29.7832577,-95.5586516
29.7160153,-95.3118331
29.67682379999999,-95.4945772
29.7433606,-95.4090496
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
30.0500255,-95.1844774
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.9112423,-95.3314613
29.9112423,-95.3314613
30.0064878,-95.3799117
30.0500255,-95.1844774
29.9112423,-95.3314613
30.0500255,-95.1844774
30.0500255,-95.1844774
29.9112423,-95.3314613
30.0500255,-95.1844774
29.9112423,-95.3314613
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.7433606,-95.4090496
31.9685988,-99.9018131
29.7345052,-95.301021
29.7345052,-95.301021
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
29.7604267,-95.3698028
31.9685988,-99.9018131
29.7604267,-95.3698028
29.7604267,-95.3698028
31.9685988,-99.9018131
29.7809296,-95.3534772
29.7809296,-95.3534772
29.7126827,-95.5543753
29.7126827,-95.5543753
29.7126827,-95.5543753
29.7126827,-95.5543753
29.7126827,-95.5543753
29.7604267,-95.3698028
29.3957069,-94.9995583
29.3957069,-94.9995583
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.7493564,-95.4715705
29.7493564,-95.4715705
29.7493564,-95.4715705
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.6892063,-95.5267081
29.6892063,-95.5267081
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.7361818,-94.9781969
29.2839484,-94.8077893
29.3957069,-94.9995583
29.3957069,-94.9995583
29.3957069,-94.9995583
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.7493564,-95.4715705
29.7433606,-95.4090496
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.2839484,-94.8077893
29.2839484,-94.8077893
29.2839484,-94.8077893
29.2839484,-94.8077893
29.2839484,-94.8077893
29.2839484,-94.8077893
29.2839484,-94.8077893
29.3957069,-94.9995583
29.3957069,-94.9995583
29.3957069,-94.9995583
29.3957069,-94.9995583
29.3957069,-94.9995583
29.7216751,-95.3598537
29.69614559999999,-95.3339027
29.8364171,-95.5021985
29.8364171,-95.5021985
29.67682379999999,-95.4945772
29.5356948,-95.7848007
29.5356948,-95.7848007
29.5356948,-95.7848007
29.5356948,-95.7848007
29.6641899,-95.1568098
29.6603528,-95.1159294
29.6603528,-95.1159294
29.6603528,-95.1159294
29.6603528,-95.1159294
29.6603528,-95.1159294
29.6603528,-95.1159294
29.3973786,-95.2405587
29.037528,-95.3994952
29.2839484,-94.8077893
29.5356948,-95.7848007
29.5356948,-95.7848007
29.5356948,-95.7848007
29.6641899,-95.1568098
29.3973786,-95.2405587
29.66712189999999,-95.2875878
29.2847455,-94.8095557
29.2839484,-94.8077893
29.7251007,-95.4784358
